Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
SC Internacional,14,Atlético Mineiro,7,25,"sáb, 30/09/23",21:00,0,2,Estádio Beira-Rio,23.937 torcedores,Ramon Abatti
Santos FC,15,CR Vasco da Gama,17,25,"dom, 01/10/23",16:00,4,1,Estádio Urbano Caldeira,8.342 torcedores,Anderson Daronco
Cruzeiro EC,12,América Mineiro,19,25,"dom, 01/10/23",16:00,1,1,Estádio Governador Magalhães Pinto,44.279 torcedores,Leandro Pedro Vuaden
Coritiba FC,20,Athletico Paranaense,8,25,"dom, 01/10/23",16:00,2,0,Estádio Major Antônio Couto Pereira,20.992 torcedores,Bruno Arleu de Araújo
RB Bragantino,2,SE Palmeiras,4,25,"dom, 01/10/23",18:30,2,1,Estádio Nabi Abi Chedid,9.093 torcedores,Wagner do Nascimento Magalhães
Botafogo FR,1,Goiás EC,16,25,"seg, 02/10/23",20:00,1,1,Estádio Olímpico Nilton Santos,34.294 torcedores,Braulio da Silva Machado
Goiás EC,18,EC Bahia,16,26,"sáb, 07/10/23",16:00,4,6,Estádio Serra Dourada,9.001 torcedores,Raphael Claus
CR Vasco da Gama,17,São Paulo FC,10,26,"sáb, 07/10/23",18:30,0,0,Estádio São Januário,20.690 torcedores,Braulio da Silva Machado
SC Corinthians,14,CR Flamengo,5,26,"sáb, 07/10/23",21:00,1,1,Neo Química Arena,40.800 torcedores,Anderson Daronco
Fluminense FC,7,Botafogo FR,1,26,"dom, 08/10/23",16:00,0,2,Estádio Jornalista Mário Filho,45.193 torcedores,Leandro Pedro Vuaden
SE Palmeiras,4,Santos FC,15,26,"dom, 08/10/23",16:00,1,2,Arena Barueri,17.049 torcedores,Flavio Rodrigues de Souza
SC Internacional,12,Grêmio FBPA,3,26,"dom, 08/10/23",16:00,3,2,Estádio Beira-Rio,39.133 torcedores,Paulo Cesar Zanovelli
Atlético Mineiro,9,Coritiba FC,19,26,"dom, 08/10/23",18:30,1,2,Arena MRV,38.350 torcedores,Marcelo de Lima Henrique  (RJ)
Athletico Paranaense,8,RB Bragantino,2,26,"dom, 08/10/23",18:30,1,1,Ligga Arena,15.388 torcedores,Yuri Elino Ferreira da Cruz
Fortaleza EC,6,América Mineiro,20,26,"dom, 08/10/23",18:30,3,2,Estádio Governador Plácido Castelo,23.830 torcedores,Bruno Arleu de Araújo
Cuiabá EC,11,Cruzeiro EC,13,26,"sáb, 14/10/23",21:00,0,0,Arena Pantanal,12.100 torcedores,Rodrigo Jose Pereira de Lima
Grêmio FBPA,4,Athletico Paranaense,6,27,"qua, 18/10/23",19:00,1,2,Arena do Grêmio,24.679 torcedores,Luiz Flávio de Oliveira (SP)
Coritiba FC,19,Cuiabá EC,10,27,"qua, 18/10/23",20:00,0,3,Estádio Major Antônio Couto Pereira,20.873 torcedores,Denis Ribeiro Serafim
América Mineiro,20,Botafogo FR,1,27,"qua, 18/10/23",20:00,1,2,Estádio Raimundo Sampaio,6.230 torcedores,Anderson Daronco
CR Vasco da Gama,16,Fortaleza EC,8,27,"qua, 18/10/23",21:30,1,0,Estádio São Januário,20.255 torcedores,Leandro Pedro Vuaden
Goiás EC,18,São Paulo FC,11,27,"qua, 18/10/23",21:30,2,0,Estádio do Governo do Estado de Goiás,12.685 torcedores,Rodrigo Jose Pereira de Lima
EC Bahia,14,SC Internacional,12,27,"qua, 18/10/23",21:30,1,0,Arena Fonte Nova,31.385 torcedores,Marcelo de Lima Henrique  (RJ)
SE Palmeiras,5,Atlético Mineiro,7,27,"qui, 19/10/23",19:00,0,2,Allianz Parque,27.718 torcedores,Bruno Arleu de Araújo
Cruzeiro EC,15,CR Flamengo,3,27,"qui, 19/10/23",19:00,0,2,Estádio Governador Magalhães Pinto,37.073 torcedores,Rafael Rodrigo Klein
Santos FC,17,RB Bragantino,2,27,"qui, 19/10/23",20:00,1,3,Estádio Urbano Caldeira,12.850 torcedores,Raphael Claus
Fluminense FC,9,SC Corinthians,13,27,"qui, 19/10/23",21:30,3,3,Estádio Jornalista Mário Filho,36.916 torcedores,Paulo Cesar Zanovelli
São Paulo FC,10,Grêmio FBPA,6,28,"sáb, 21/10/23",18:30,3,0,MorumBIS,47.132 torcedores,André Luiz Skettino Policarpo Bento
EC Bahia,13,Fortaleza EC,8,28,"sáb, 21/10/23",18:30,2,0,Arena Fonte Nova,44.761 torcedores,Rodrigo Jose Pereira de Lima
Cuiabá EC,11,Goiás EC,16,28,"sáb, 21/10/23",18:30,1,1,Arena Pantanal,14.956 torcedores,Anderson Daronco
Botafogo FR,1,Athletico Paranaense,5,28,"sáb, 21/10/23",21:00,1,1,Estádio Olímpico Nilton Santos,36.908 torcedores,Matheus Delgado Candançan
